soc_code,accountability_responsibility,creativity_originality,physical_manual,social_perceptiveness,tool_technology,writing_intensity,norm_writing_intensity,norm_social_perceptiveness,norm_physical_manual,norm_creativity_originality,norm_tool_technology,norm_accountability_responsibility
29-1171,4.369999999999999,3.2433333333333336,2.230909090909091,4.128,2.4433333333333334,3.9075,0.9276485788113695,0.9554263565891473,0.4134366925064599,0.6705426356589147,0.6214470284237726,0.9560723514211886
29-1181,3.3649999999999998,3.1300000000000003,2.48,4.526000000000001,2.7999999999999994,4.172499999999999,0.9961240310077519,0.9974160206718347,0.5064599483204134,0.6020671834625323,0.898578811369509,0.49224806201550386
29-1211,4.630000000000001,3.1633333333333336,2.5563636363636366,3.8,2.0233333333333334,3.715,0.7906976744186046,0.851421188630491,0.5452196382428941,0.6311369509043928,0.2990956072351421,0.9883720930232558
29-1213,4.245,2.8466666666666662,2.1036363636363635,4.05,2.6266666666666665,3.7800000000000002,0.8397932816537468,0.9315245478036176,0.3708010335917313,0.40633074935400515,0.8036175710594315,0.9289405684754521
29-1214,4.83,3.5500000000000003,2.4109090909090907,4.392,2.53,4.0675,0.9870801033591732,0.9948320413436692,0.4844961240310077,0.8307493540051679,0.7170542635658915,0.9974160206718347
29-1215,4.98,2.793333333333333,1.6972727272727275,4.232,2.35,4.0,0.975452196382429,0.979328165374677,0.24160206718346253,0.3649870801033592,0.5322997416020672,1.0
29-1216,4.25,3.1133333333333333,2.0890909090909093,4.086,2.533333333333333,3.8775,0.9018087855297158,0.9425064599483204,0.36627906976744184,0.5949612403100775,0.7189922480620154,0.9308785529715762
29-1217,4.71,3.6133333333333333,1.6818181818181819,4.1979999999999995,2.533333333333333,4.095,0.9896640826873385,0.9741602067183462,0.2351421188630491,0.8695090439276486,0.7189922480620154,0.9922480620155039
29-1218,4.325,3.1833333333333336,2.463636363636364,4.279999999999999,2.313333333333333,3.9825,0.9651162790697675,0.9857881136950905,0.5025839793281653,0.6434108527131783,0.48578811369509045,0.9444444444444444
29-1221,4.1450000000000005,2.73,1.8772727272727272,4.34,2.26,3.9125,0.9302325581395349,0.9896640826873385,0.2997416020671835,0.3268733850129199,0.43669250645994834,0.9024547803617571
29-1222,4.59,3.1300000000000003,2.0936363636363637,3.218,2.6799999999999997,3.9825,0.9651162790697675,0.5381136950904393,0.3682170542635659,0.6020671834625323,0.8391472868217055,0.9844961240310077
29-1223,4.035,3.3766666666666665,1.4754545454545456,4.128,2.1533333333333333,3.9675000000000002,0.9573643410852714,0.9554263565891473,0.1434108527131783,0.7467700258397932,0.37467700258397935,0.8656330749354005
29-1224,4.09,3.09,2.3945454545454545,4.166,2.4499999999999997,3.9450000000000003,0.9470284237726099,0.9664082687338501,0.47739018087855295,0.5807493540051679,0.6266149870801033,0.8843669250645995
29-1229,4.373333333333334,3.479444444444445,2.106969696969697,4.177333333333333,2.5166666666666666,3.9462500000000005,0.9483204134366925,0.9677002583979328,0.37209302325581395,0.7958656330749354,0.6950904392764858,0.9573643410852714
29-1241,4.925000000000001,3.2099999999999995,2.516363636363636,4.006,2.31,3.8375,0.874031007751938,0.9147286821705426,0.5232558139534884,0.6589147286821705,0.47997416020671835,0.9987080103359173
29-1291,3.42,3.1266666666666665,2.265454545454545,4.0200000000000005,1.8866666666666667,3.665,0.7512919896640827,0.9198966408268734,0.4263565891472868,0.5988372093023255,0.24354005167958656,0.5258397932816538
29-1292,3.835,2.9499999999999997,2.933636363636363,4.002000000000001,2.36,3.3225,0.5174418604651163,0.91343669250646,0.7196382428940569,0.4722222222222222,0.5406976744186046,0.7751937984496124
29-1299,3.59,3.2533333333333334,1.8913636363636364,4.025,2.473333333333333,3.895,0.9147286821705426,0.9211886304909561,0.30361757105943155,0.6744186046511628,0.6563307493540051,0.6543927648578811
29-2011,4.05875,2.6683333333333334,2.587727272727273,2.679,2.4791666666666665,3.48875,0.6175710594315246,0.20671834625322996,0.5503875968992248,0.3049095607235142,0.6627906976744186,0.8746770025839793
29-2012,3.71,2.6,2.716818181818182,2.678,2.481666666666667,3.2262500000000003,0.4702842377260982,0.2054263565891473,0.6162790697674418,0.2622739018087855,0.6679586563307494,0.7170542635658915
29-2031,4.025,2.7399999999999998,2.846363636363636,3.686,2.5566666666666666,3.4925,0.6214470284237726,0.7958656330749354,0.6789405684754521,0.3281653746770026,0.7512919896640827,0.8617571059431525
29-2032,3.77,3.0066666666666664,2.85,3.786,2.41,3.525,0.6492248062015504,0.8436692506459949,0.6815245478036176,0.5161498708010336,0.5878552971576227,0.7448320413436692
29-2033,4.325,2.813333333333333,2.678181818181818,3.7960000000000003,2.64,3.6174999999999997,0.7267441860465116,0.849483204134367,0.58656330749354,0.38113695090439276,0.8158914728682171,0.9444444444444444
29-2034,3.8600000000000003,2.4766666666666666,2.7827272727272727,3.774,2.5533333333333332,3.1075,0.4005167958656331,0.8410852713178295,0.6447028423772609,0.20025839793281655,0.7441860465116279,0.7958656330749354
29-2035,3.825,3.0066666666666664,2.7672727272727276,3.7159999999999997,2.59,3.58,0.686046511627907,0.8094315245478036,0.6356589147286822,0.5161498708010336,0.7764857881136951,0.7687338501291989
