occ_code,ai_applicability,ai_applicability_pred,residual
15-1299,0.2977858491030317,0.2478222316066471,0.04996361749638459
15-2011,0.1581477988708334,0.29035929362968504,-0.13221149475885163
15-2021,0.3861702756791553,0.2878306660765185,0.09833960960263677
15-2031,0.3074955646855726,0.28418813287213884,0.023307431813433754
15-2041,0.3150171176175566,0.2834251495243275,0.03159196809322906
15-2051,0.3571632760219043,0.2884454566817374,0.06871781934016691
15-2099,0.3358430178265916,0.2766798211022922,0.05916319672429937
17-1011,0.1749167204278361,0.23953805987789828,-0.06462133945006218
17-1012,0.2184226276770571,0.22150645875383462,-0.00308383107677751
17-1021,0.1761280646528152,0.21778304893020414,-0.04165498427738895
17-1022,0.1494764065063448,0.1746682180368839,-0.025191811530539093
17-2011,0.1955306356404219,0.266704161952444,-0.07117352631202212
17-2021,0.1527920619424727,0.21452702627647413,-0.06173496433400144
17-2031,0.2982329801834177,0.22309867090928287,0.07513430927413484
17-2041,0.1718972538907844,0.26107213461476697,-0.08917488072398258
17-2051,0.2053823863919811,0.26203992312968066,-0.056657536737699576
17-2061,0.3147974661693407,0.2352185931512291,0.07957887301811159
17-2071,0.1101683401095347,0.23022798611848844,-0.12005964600895373
17-2072,0.273936294540746,0.2124000750310584,0.06153621950968757
17-2081,0.2082842689802057,0.24239023335421347,-0.034105964374007786
17-2111,0.2398232764644405,0.2416129705131597,-0.0017896940487192037
17-2112,0.2532982187319553,0.23168160933844306,0.02161660939351223
17-2121,0.1999323115568476,0.19028650490519072,0.009645806651656874
17-2131,0.1794321348157053,0.21904839351533328,-0.03961625869962798
17-2141,0.2572665021650294,0.23163062406491186,0.025635878100117526
17-2151,0.2250167008010288,0.26760478869484067,-0.042588087893811855
17-2161,0.2094834120659253,0.24766605195599195,-0.03818263989006665
17-2171,0.2003085701939542,0.2746751086284515,-0.07436653843449731
17-2199,0.2112771065743973,0.21964610470174306,-0.008368998127345761
17-3011,0.2220527138174632,0.23883616089299972,-0.01678344707553653
17-3012,0.3084121121295002,0.23389144301922438,0.07452066911027583
17-3013,0.1728369642039824,0.23842394137711137,-0.06558697717312897
17-3021,0.2278043882150891,0.18141447895337445,0.04638990926171466
17-3022,0.1994199273749053,0.2362913442203466,-0.03687141684544129
17-3023,0.2028011946138097,0.1651294394152904,0.037671755198519286
17-3024,0.168215479624192,0.11101187186044216,0.057203607763749845
17-3025,0.1801749677294792,0.17184560892440273,0.008329358805076459
17-3026,0.1735836614814662,0.16821366549951902,0.005369995981947179
17-3027,0.2250875108431268,0.14369925099159786,0.08138825985152895
17-3029,0.2041905272004177,0.14911899286745017,0.05507153433296752
17-3031,0.2176363967947537,0.20380659841753448,0.013829798377219205
19-1011,0.2619530527740787,0.2256372484377563,0.03631580433632242
19-1012,0.2590045143638015,0.18785235674750742,0.07115215761629409
19-1013,0.1821411092923175,0.19960480319469126,-0.01746369390237376
19-1021,0.2514789498016125,0.2025352147498843,0.04894373505172819
19-1022,0.1765288942157244,0.19565769427527532,-0.01912880005955092
19-1023,0.2120415547333891,0.2024014644334293,0.009640090299959797
19-1029,0.2403715887208747,0.2248019892604209,0.015569599460453803
