occ_code,writing_intensity,social_perceptiveness,physical_manual,creativity_originality,tool_technology,accountability_responsibility,substitution_score,defense_score,net_risk,net_risk_calibrated,net_risk_uncalibrated,net_risk_source,bottleneck_B,demand_elasticity_eps,m_comp,m_comp_raw
13-1081,0.6304909560723514,0.4967700258397933,0.1421188630490956,0.8320413436692506,0.9237726098191216,0.3423772609819121,0.7771317829457365,0.4903100775193798,0.7583369030705691,0.7583369030705691,0.28682170542635665,calibrated,0.0710594315245478,0.7,0.2,0.6502583979328165
13-1111,0.8552971576227391,0.7764857881136951,0.0775193798449612,0.9056847545219638,0.8785529715762274,0.5368217054263565,0.8669250645994833,0.58656330749354,0.7954994602377055,0.7954994602377055,0.28036175710594324,calibrated,0.0387596899224806,0.7,0.2,0.6728682170542636
13-1121,0.8578811369509044,0.9056847545219638,0.4651162790697674,0.9308785529715762,0.7009043927648578,0.3074935400516795,0.7793927648578811,0.7672265288544358,0.0944475437040921,0.0944475437040921,0.012166236003445352,calibrated,0.2325581395348837,0.7,0.2,0.5372093023255814
13-1131,0.7771317829457365,0.8888888888888888,0.0426356589147286,0.9347545219638242,0.727390180878553,0.4108527131782946,0.7522609819121447,0.6220930232558138,0.7591881168420908,0.7591881168420908,0.1301679586563309,calibrated,0.0213178294573643,0.7,0.2,0.685077519379845
13-1141,0.6065891472868217,0.458656330749354,0.1046511627906976,0.563953488372093,0.6156330749354005,0.5523255813953488,0.6111111111111112,0.3757536606373815,0.6708666235535634,0.6708666235535634,0.23535745047372963,calibrated,0.0523255813953488,0.7,0.2,0.6633720930232558
13-1151,0.7189922480620154,0.6815245478036176,0.1162790697674418,0.9250645994832042,0.6563307493540051,0.0729974160206718,0.6876614987080103,0.5742894056847545,0.6409664705117917,0.6409664705117917,0.1133720930232558,calibrated,0.0581395348837209,0.7,0.2,0.6593023255813953
13-1161,0.6950904392764858,0.4018087855297158,0.0361757105943152,0.9444444444444444,0.94702842377261,0.233204134366925,0.8210594315245479,0.46080964685615844,0.9461378716800346,0.9461378716800346,0.3602497846683894,calibrated,0.0180878552971576,0.7,0.2,0.6873385012919896
13-1199,0.7919896640826873,0.5968992248062015,0.1614987080103359,0.7855297157622739,0.8863049095607235,0.2945736434108527,0.8391472868217054,0.5146425495262704,0.6959110638967214,0.6959110638967214,0.32450473729543494,calibrated,0.08074935400516794,0.7,0.2,0.6434754521963825
13-2011,0.8591731266149871,0.520671834625323,0.0439276485788113,0.4987080103359173,0.8714470284237726,0.6188630490956072,0.8653100775193798,0.35443583118001715,0.8802857608078659,0.8802857608078659,0.5108742463393627,calibrated,0.02196382428940565,0.7,0.2,0.684625322997416
13-2022,0.872093023255814,0.520671834625323,0.3016795865633075,0.3959948320413436,0.5975452196382429,0.6666666666666666,0.7348191214470284,0.40611541774332466,0.3502988079393447,0.3502988079393447,0.3287037037037038,calibrated,0.15083979328165376,0.7,0.2,0.5944121447028423
13-2023,0.7241602067183462,0.25,0.1731266149870801,0.2351421188630491,0.686046511627907,0.107235142118863,0.7051033591731266,0.2194229112833764,0.629879713747558,0.629879713747558,0.4856804478897502,calibrated,0.08656330749354005,0.7,0.2,0.639405684754522
13-2031,0.5465116279069767,0.2390180878552971,0.1240310077519379,0.5406976744186046,0.8255813953488372,0.5658914728682171,0.686046511627907,0.30124892334194653,0.7750765777958714,0.7750765777958714,0.38479758828596045,calibrated,0.06201550387596895,0.7,0.2,0.6565891472868217
13-2041,0.4366925064599483,0.189922480620155,0.0645994832041343,0.3191214470284237,0.537467700258398,0.2454780361757106,0.4870801033591731,0.19121447028423766,0.7327214158862554,0.7327214158862554,0.29586563307493546,calibrated,0.03229974160206715,0.7,0.2,0.677390180878553
13-2052,0.7958656330749354,0.8591731266149871,0.0025839793281653,0.6350129198966409,0.7667958656330749,0.6808785529715762,0.7813307493540051,0.49892334194659776,0.8442548120355167,0.8442548120355167,0.2824074074074074,calibrated,0.00129198966408265,0.7,0.2,0.6990956072351421
13-2053,0.7454780361757106,0.4618863049095607,0.08656330749354,0.4489664082687338,0.689922480620155,0.5142118863049095,0.7177002583979328,0.33247200689061146,0.7344957663906643,0.7344957663906643,0.3852282515073214,calibrated,0.04328165374677,0.7,0.2,0.669702842377261
13-2061,0.7990956072351422,0.4528423772609819,0.0155038759689922,0.3766149870801034,0.5452196382428941,0.3972868217054263,0.6721576227390181,0.2816537467700258,0.7743327268072782,0.7743327268072782,0.39050387596899233,calibrated,0.0077519379844961,0.7,0.2,0.6945736434108527
13-2071,0.9392764857881136,0.7448320413436692,0.0820413436692506,0.5697674418604651,0.7338501291989664,0.4108527131782946,0.83656330749354,0.4655469422911283,0.7223965557955241,0.7223965557955241,0.3710163652024117,calibrated,0.0410206718346253,0.7,0.2,0.6712855297157623
13-2072,0.7054263565891473,0.6815245478036176,0.1317829457364341,0.3649870801033592,0.7667958656330749,0.7338501291989664,0.7361111111111112,0.39276485788113696,0.6710948645243732,0.6710948645243732,0.3433462532299742,calibrated,0.06589147286821705,0.7,0.2,0.653875968992248
13-2081,0.6627906976744186,0.8733850129198967,0.1834625322997416,0.2829457364341085,0.8081395348837209,0.6227390180878553,0.7354651162790697,0.44659776055124895,0.5843856893984678,0.5843856893984678,0.2888673557278208,calibrated,0.0917312661498708,0.7,0.2,0.6357881136950904
13-2082,0.5445736434108527,0.5645994832041343,0.0852713178294573,0.3546511627906977,0.6950904392764858,0.3972868217054263,0.6198320413436693,0.3348406546080964,0.7243013219502902,0.7243013219502902,0.2849913867355729,calibrated,0.04263565891472865,0.7,0.2,0.67015503875969
13-2099,0.6518087855297158,0.3914728682170542,0.0917312661498708,0.7138242894056848,0.896640826873385,0.6627906976744186,0.7742248062015504,0.39900947459086994,0.837609591971706,0.837609591971706,0.3752153316106805,calibrated,0.0458656330749354,0.7,0.2,0.6678940568475452
15-1211,0.6550387596899225,0.4547803617571059,0.2713178294573643,0.8998708010335917,0.9883720930232558,0.4160206718346253,0.8217054263565892,0.5419896640826872,0.5973108074607519,0.5973108074607519,0.27971576227390194,calibrated,0.13565891472868216,1.0,0.2,0.8643410852713178
15-1212,0.7571059431524548,0.1188630490956072,0.2506459948320413,0.6453488372093024,0.9612403100775194,0.6188630490956072,0.8591731266149871,0.3382859603789836,0.6639235848764562,0.6639235848764562,0.5208871662360035,calibrated,0.12532299741602065,1.0,0.2,0.8746770025839794
15-1221,0.6272609819121447,0.4224806201550387,0.2616279069767442,0.9767441860465116,0.996124031007752,0.2648578811369509,0.8116925064599484,0.5536175710594314,0.6206160476588584,0.6206160476588584,0.25807493540051696,calibrated,0.1308139534883721,1.0,0.2,0.8691860465116279
15-1231,0.375968992248062,0.2751937984496124,0.4237726098191214,0.5077519379844961,0.954780361757106,0.6085271317829457,0.665374677002584,0.4022394487510767,0.3722728658572886,0.3722728658572886,0.2631352282515073,calibrated,0.2118863049095607,1.0,0.2,0.7881136950904393
15-1232,0.7189922480620154,0.3753229974160206,0.4664082687338501,0.6350129198966409,0.9392764857881136,0.4689922480620155,0.8291343669250646,0.49224806201550386,0.2848291231194439,0.2848291231194439,0.33688630490956073,calibrated,0.23320413436692505,1.0,0.2,0.7667958656330749
15-1241,0.6149870801033591,0.3565891472868217,0.3837209302325581,0.6679586563307494,0.9844961240310076,0.5329457364341085,0.7997416020671834,0.4694229112833764,0.4366991960962441,0.4366991960962441,0.330318690783807,calibrated,0.19186046511627905,1.0,0.2,0.8081395348837209
15-1242,0.4031007751937984,0.1957364341085271,0.1666666666666666,0.686046511627907,0.9832041343669252,0.6511627906976745,0.6931524547803618,0.3494832041343669,0.7927322037085901,0.7927322037085901,0.3436692506459949,calibrated,0.0833333333333333,1.0,0.2,0.9166666666666667
15-1243,0.4043927648578811,0.1175710594315245,0.0697674418604651,0.7428940568475452,0.9935400516795866,0.3359173126614987,0.6989664082687339,0.3100775193798449,0.9579160652900496,0.9579160652900496,0.388888888888889,calibrated,0.03488372093023255,1.0,0.2,0.9651162790697675
15-1244,0.3733850129198966,0.1770025839793281,0.4328165374677002,0.6983204134366925,0.992248062015504,0.2616279069767442,0.6828165374677003,0.4360465116279069,0.3907308471180029,0.3907308471180029,0.2467700258397934,calibrated,0.2164082687338501,1.0,0.2,0.7835917312661499
15-1251,0.3953488372093023,0.1782945736434108,0.1963824289405684,0.7758397932816538,1.0,0.1666666666666666,0.6976744186046512,0.38350559862187766,0.7577572800250334,0.7577572800250334,0.3141688199827735,calibrated,0.0981912144702842,1.0,0.2,0.9018087855297158
15-1252,0.4631782945736434,0.0943152454780361,0.1188630490956072,0.8410852713178295,0.9987080103359172,0.0968992248062015,0.7309431524547803,0.35142118863049093,0.8883046231341063,0.8883046231341063,0.3795219638242893,calibrated,0.0594315245478036,1.0,0.2,0.9405684754521964
15-1253,0.665374677002584,0.1369509043927648,0.1343669250645995,0.686046511627907,0.9896640826873384,0.3559431524547803,0.8275193798449612,0.31912144702842377,0.853951875068134,0.853951875068134,0.5083979328165373,calibrated,0.06718346253229975,1.0,0.2,0.9328165374677002
15-1254,0.3824289405684754,0.1860465116279069,0.1795865633074935,0.849483204134367,0.9948320413436692,0.3669250645994832,0.6886304909560723,0.4050387596899225,0.7799401217856237,0.7799401217856237,0.28359173126614984,calibrated,0.08979328165374675,1.0,0.2,0.9102067183462532
15-1255,0.458656330749354,0.2093023255813953,0.1472868217054263,0.9967700258397932,0.9974160206718348,0.1537467700258397,0.7280361757105944,0.45111972437553827,0.8275211375159518,0.8275211375159518,0.27691645133505616,calibrated,0.07364341085271316,1.0,0.2,0.9263565891472868
15-1299,0.6912144702842378,0.3604651162790697,0.2222222222222222,0.7157622739018088,0.9715762273901808,0.4302325581395348,0.8313953488372092,0.4328165374677002,0.6780742025143037,0.6780742025143037,0.398578811369509,calibrated,0.1111111111111111,1.0,0.2,0.8888888888888888
15-2011,0.4657622739018088,0.2170542635658914,0.0103359173126615,0.6130490956072352,0.9218346253229974,0.3494832041343669,0.6937984496124031,0.2801464254952627,1.0,1.0,0.4136520241171404,calibrated,0.00516795865633075,1.0,0.2,0.9948320413436692
15-2021,0.5310077519379846,0.1033591731266149,0.024547803617571,0.9819121447028424,0.8940568475452196,0.0426356589147286,0.7125322997416021,0.3699397071490094,0.9808630308986418,0.9808630308986418,0.3425925925925927,calibrated,0.0122739018087855,1.0,0.2,0.9877260981912145
15-2031,0.5775193798449613,0.276485788113695,0.041343669250646,0.9276485788113696,0.9412144702842378,0.233204134366925,0.7593669250645996,0.4151593453919036,0.953295884722609,0.953295884722609,0.344207579672696,calibrated,0.020671834625323,1.0,0.2,0.979328165374677
15-2041,0.6091731266149871,0.2319121447028423,0.0568475452196382,0.789405684754522,0.9651162790697676,0.1731266149870801,0.7871447028423774,0.3593884582256675,0.94752153146381,0.94752153146381,0.42775624461670986,calibrated,0.0284237726098191,1.0,0.2,0.9715762273901809
15-2051,0.6821705426356589,0.2370801033591731,0.0271317829457364,0.6834625322997416,0.9509043927648578,0.1912144702842377,0.8165374677002584,0.315891472868217,0.985515842974958,0.985515842974958,0.5006459948320414,calibrated,0.0135658914728682,1.0,0.2,0.9864341085271318
15-2099,0.5038759689922481,0.0981912144702842,0.107235142118863,0.7835917312661499,0.9799741602067183,0.1427648578811369,0.7419250645994833,0.3296726959517657,0.8964720435986028,0.8964720435986028,0.4122523686477176,calibrated,0.0536175710594315,1.0,0.2,0.9463824289405685
17-1011,0.8630490956072352,0.687984496124031,0.2138242894056847,0.9883720930232558,0.9127906976744186,0.4689922480620155,0.8879198966408268,0.6300602928509905,0.615378556330711,0.615378556330711,0.2578596037898363,calibrated,0.10691214470284235,0.7,0.2,0.6251614987080103
17-1012,0.5710594315245479,0.6925064599483204,0.2112403100775193,0.9896640826873384,0.6266149870801033,0.2131782945736434,0.5988372093023255,0.6311369509043927,0.4789131472090305,0.4789131472090305,-0.03229974160206717,calibrated,0.10562015503875966,0.7,0.2,0.6260658914728682
17-1021,0.6272609819121447,0.601421188630491,0.3152454780361757,0.6912144702842378,0.8695090439276486,0.3275193798449612,0.7483850129198967,0.5359603789836348,0.450733916678508,0.450733916678508,0.21242463393626188,calibrated,0.15762273901808785,0.7,0.2,0.5896640826873385
17-1022,0.8552971576227391,0.4638242894056847,0.537467700258398,0.6085271317829457,0.8604651162790697,0.4289405684754522,0.8578811369509044,0.5366063738156761,0.1244354922298279,0.1244354922298279,0.3212747631352283,calibrated,0.268733850129199,0.7,0.2,0.5118863049095608
17-2011,0.7390180878552972,0.146640826873385,0.1524547803617571,0.9102067183462532,0.9819121447028424,0.3074935400516795,0.8604651162790697,0.40310077519379844,0.8209750093765147,0.8209750093765147,0.4573643410852713,calibrated,0.07622739018087855,0.7,0.2,0.646640826873385
17-2021,0.8307493540051679,0.4528423772609819,0.3746770025839793,0.9102067183462532,0.962532299741602,0.4244186046511627,0.896640826873385,0.5792420327304048,0.4260919306178388,0.4260919306178388,0.3173987941429802,calibrated,0.18733850129198965,0.7,0.2,0.5688630490956071
17-2031,0.7797157622739018,0.3255813953488372,0.3533591731266149,0.952842377260982,0.9909560723514212,0.2810077519379845,0.8853359173126616,0.5439276485788114,0.4909632076394262,0.4909632076394262,0.3414082687338502,calibrated,0.17667958656330746,0.7,0.2,0.5763242894056847
17-2041,0.3695090439276486,0.127906976744186,0.1770025839793281,0.8081395348837209,0.96640826873385,0.8210594315245479,0.6679586563307494,0.37101636520241166,0.7783511231485246,0.7783511231485246,0.2969422911283377,calibrated,0.08850129198966405,0.7,0.2,0.6380490956072351
17-2051,0.7080103359173127,0.5516795865633075,0.1220930232558139,0.8578811369509044,0.9328165374677002,0.5232558139534884,0.8204134366925064,0.5105512489233419,0.7856754674883465,0.7856754674883465,0.3098621877691645,calibrated,0.06104651162790695,0.7,0.2,0.657267441860465
17-2061,0.6589147286821705,0.1408268733850129,0.3055555555555556,0.9037467700258398,0.9741602067183462,0.2454780361757106,0.8165374677002584,0.45004306632213603,0.582688292721466,0.582688292721466,0.36649440137812234,calibrated,0.1527777777777778,0.7,0.2,0.5930555555555556
17-2071,0.8908268733850129,0.3133074935400516,0.3074935400516795,0.8443152454780362,0.9534883720930232,0.5936692506459949,0.922157622739018,0.4883720930232558,0.5449187554628132,0.5449187554628132,0.43378552971576223,calibrated,0.15374677002583975,0.7,0.2,0.5923772609819121
17-2072,0.5348837209302325,0.3268733850129199,0.4018087855297158,0.8294573643410853,0.9780361757105944,0.3617571059431524,0.7564599483204135,0.5193798449612403,0.4099948979755088,0.4099948979755088,0.23708010335917318,calibrated,0.2009043927648579,0.7,0.2,0.5593669250645994
