season,week,rule_regime,n_active,observed_eliminated,observed_eliminated_name,observed_eliminated_partner,model_map_eliminated,model_elim_prob_observed,model_log_prob_observed,rank_of_observed_eliminated,map_matches_observed,random_log_prob_observed,random_elim_prob_observed,random_match_expected,judges_only_log_prob_observed,judges_only_elim_prob_observed,judges_only_map_eliminated,judges_only_map_matches_observed
8,9,percent,5,1,Lil' Kim,Derek Hough,4,0.21677926648602056,-1.5288756482794692,2,False,-1.6094379124341003,0.2,0.2,-1.60697952009938,0.2004922833317947,4,False
8,10,percent,4,3,Ty Murray,Chelsie Hightower,3,0.2800142153605411,-1.2729149079568072,1,True,-1.3862943611198906,0.25,0.25,-1.3717329009904629,0.2536669986653348,3,True
9,1,percent,16,1,Ashley Hamiliton,Edyta Sliwinska,1,0.06463797879187164,-2.7389531339482773,1,True,-2.772588722239781,0.0625,0.0625,-2.7651662768019083,0.06296562875415139,1,True
9,2,percent,14,5,Kathy Ireland,Tony Dovolani,5,0.07374273081240469,-2.6071728538756114,1,True,-2.6390573296152584,0.07142857142857142,0.07142857142857142,-2.634233507945846,0.07177396250196673,5,True
9,3,percent,13,2,Debi Mazar,Maksim Chmerkoskiy,9,0.0796312828499428,-2.5303482627088973,3,False,-2.5649493574615367,0.07692307692307693,0.07692307692307693,-2.559745214585561,0.0773244390729869,9,False
9,4,percent,11,1,Chuck Liddell,Anna Trebunskaya,5,0.0950881138229866,-2.3529513033306735,3,False,-2.3978952727983707,0.09090909090909091,0.09090909090909091,-2.3881413881492937,0.0918001462564639,5,False
9,5,percent,10,9,Natalie Coughlin,Alec Mazo,7,0.10437116856633609,-2.259801804831366,2,False,-2.302585092994046,0.1,0.1,-2.2982879236453946,0.10043064154200909,7,False
9,6,percent,9,4,Louie Vito,Chelsie Hightower,7,0.1169694048718036,-2.145842875202828,3,False,-2.1972245773362196,0.1111111111111111,0.1111111111111111,-2.188353098018755,0.11210121639083796,7,False
9,7,percent,7,4,Mark Dacascos,Lacey Schwimmer,4,0.15242579416167476,-1.8810773970219072,1,True,-1.9459101490553132,0.14285714285714285,0.14285714285714285,-1.9362802333282754,0.14423949036618963,4,True
9,8,percent,5,0,Aaron Carter,Karina Smirnoff,1,0.1353162901934256,-2.000140350510271,5,False,-1.6094379124341003,0.2,0.2,-1.6051158705372497,0.2008662790780944,0,True
9,9,percent,4,1,Joanna Krupa,Derek Hough,0,0.2757143772191776,-1.2883898142555468,2,False,-1.3862943611198906,0.25,0.25,-1.3878002388965078,0.2496238138720994,0,False
